Pair,p-value,Half-Life
FOXA-WELL,0.0118788115493841,36.754904942312955
EPAM-CRL,0.0001319727018962,36.76504710779381
TTD-LOW,0.0008461538340027,36.79720183952262
OTIS-NVR,0.0392232749054506,36.91384857289059
DELL-VMC,0.0151293634311845,36.96238971562989
HD-DDOG,0.0172484721531418,37.15853862841106
AMP-PANW,0.0012664605122501,37.17032109214306
DASH-DLR,0.0326323557279421,37.222760988044286
CL-IR,0.0124777822884763,37.2751266579199
BBY-DAY,0.0037499321792669,37.5924788784982
BRK.B-CEG,0.007700621005485,37.73294466671863
CARR-HPE,0.022909160425016,37.82248126280693
MAR-CBOE,2.639863303028483e-06,38.019208305532345
DELL-WSM,0.0435486154734956,38.36701703066497
OTIS-PANW,0.0261783029838387,38.41242035565395
CARR-J,0.0353564386241302,38.54659494119267
TSLA-DDOG,0.0196400846858808,38.60302033625123
AVGO-AXON,0.0008937192865111,38.6281620795202
MSFT-MPWR,5.21873540877878e-07,38.657225115222616
TTD-TXN,0.0056095400710524,38.66882434414119
IR-PHM,0.0079040778016935,38.74975055754993
ORLY-PANW,0.0004385610782608,38.84964420473777
APO-ANET,0.0284626694826352,38.91058633593568
NTRS-CFG,0.0019937273841983,39.00710861193189
PH-ANET,0.0036539799440035,39.01365435288762
ITW-TTD,0.003247647696004,39.137478480826566
TTD-MAS,0.0014697612646873,39.18701674253623
CARR-SPG,0.0249319881717861,39.256841415950696
CARR-BR,0.0416296433159114,39.273301001425146
MA-VRSK,6.607956680640998e-08,39.354730077685936
WTW-CRWD,0.0194554136475198,39.4805210252138
URI-PANW,0.0017893778323771,39.489140095036525
AJG-PANW,0.0019529043998037,39.52157755841058
IR-DECK,0.0042503812884879,39.53010032480727
IR-PANW,0.0030292001230141,39.549873419854734
CTAS-HLT,8.869760310344881e-05,39.60576606646208
DDOG-EFX,0.0274989846703088,39.74849778990702
DELL-SYK,0.0113022248447939,39.80902054273894
VRSK-ADI,0.001470711447428,39.874358594823775
BKNG-ANET,0.0024009986017512,39.881697984542015
ETR-FOXA,0.0274872811865771,39.89382929373296
ETR-FOX,0.0183798624055695,40.041374136579726
RMD-PODD,0.0006404006387171,40.0615523618278
ZTS-POOL,0.0302088782323604,40.15699971940035
WST-POOL,3.461099649928752e-06,40.184415640416645
TTD-CHD,0.0018978540937234,40.24312319509092
EQIX-TTD,0.0016485531811723,40.36396060827817
AAPL-CARR,0.0413023164132371,40.397354432206626
HD-TTD,0.0033983733927285,40.405229079816394
NI-FOXA,0.0381084741438356,40.438434244123236
IQV-INVH,0.0051010667854153,40.495857772445206
SHW-TYL,1.0849689124133944e-10,40.585184249452844
COR-PANW,0.0015043828874531,40.621107870531226
COST-HLT,0.0004589403779511,40.69872046493746
TTD-QCOM,0.004586855632146,40.7210766148959
MA-CRWD,0.022734770263835,40.762746304800494
PG-TTD,0.005031551375468,40.81883251484226
TRV-ANET,0.0008735765708679,40.90442867973011
TTD-DOV,0.0039041072228361,40.91199600157508
AVGO-HWM,0.0123949377913936,40.926185918299865
CARR-ISRG,0.0245682597351751,41.045076656897514
MDLZ-CDW,0.000105995144528,41.14917345294113
MU-CRWD,0.0209448750818383,41.24529874485209
OTIS-CB,0.0423802066897824,41.246841879301385
INVH-DHR,0.006761929765142,41.25074808152251
HLT-TRV,0.0042128227380625,41.251946167389036
PCAR-IR,0.0333037374316612,41.26146729331967
CARR-UHS,0.0399085222847648,41.317596593197315
NXPI-EFX,7.547359739262838e-05,41.44131604416131
EMR-CRWD,0.0130780330985476,41.442886812572226
PNR-NWS,0.0001077693758078,41.48164508885908
TGT-MRNA,0.0093748035674539,41.57317897486953
HLT-PANW,0.0150105071177978,41.708198990143394
PLD-ZTS,0.0011300208605695,41.72385865668482
PH-PANW,0.0027128475631268,41.77822284664486
KMI-FOX,0.0271029705657921,41.832782466059896
NOC-CTVA,0.0276491425689218,41.87532660468887
FOX-WELL,0.0180192672734322,41.89365432179958
DHI-MPWR,3.230790853195563e-05,41.93944641150589
FAST-CRWD,0.0274211733133478,41.98675964870751
OTIS-UHS,0.0328323487221584,42.199645265499754
V-WTW,0.0003392979348389,42.28781070984756
CARR-HIG,0.0320160214535397,42.29003774628233
PLD-INVH,0.0035498656667474,42.291808207271664
HUBB-PANW,0.0009607536393761,42.35758744944353
EW-INVH,0.0079551043095396,42.390543815118065
CARR-PNR,0.0478479651352011,42.40466836076839
FFIV-FOXA,0.0152701280370147,42.41545422761471
ICE-CRWD,0.0317408581060847,42.49326653073765
HIG-ANET,0.0001270631446177,42.50866315398135
CEG-WMB,0.0440508086430396,42.51158563537226
TTD-J,0.003505837116321,42.51508452308252
CPRT-OTIS,0.0472401467601781,42.89146404015618
IR-MPWR,0.0029355135977137,42.92623085073549
PYPL-MTCH,0.0341172044235461,42.957679157399454
META-UBER,0.0255562716993376,42.967448237324525
VICI-KEYS,0.0021927423470672,43.023477750365814
RSG-HLT,0.0003932941680552,43.083881006926276
DELL-KLAC,0.0224848282794652,43.19499276624639
LII-UBER,0.0278225780407783,43.51113238983922
MSFT-LRCX,4.990865868521735e-06,43.53711770719634
MA-DELL,0.0099327415908744,43.59620468237042
VICI-EXPD,0.0099259017723404,43.75791871025223
CDW-EXPD,0.0015303088440115,43.758291132397716
MSI-HLT,0.0038263603751657,43.77992865433004
A-TXN,0.0006166771725441,43.792677869964635
CARR-PANW,0.0316745550681143,43.81376200336374
CL-ANET,0.0145912693088138,43.8672192183698
KMI-FOXA,0.0264855213266457,43.9097852640094
GOOG-ADI,0.0111786862039687,44.00404940203659
WDAY-UNP,0.0001358601761628,44.063279594360665
HBAN-CFG,0.0006959612140347,44.10375400834148
IR-HUBB,0.0091643092797509,44.24909798209934
CARR-L,0.0308876930087292,44.251002877311954
CL-HLT,0.0195814993771322,44.30700468199369
IQV-POOL,0.0479790242340768,44.537870361816694
OTIS-DECK,0.0306308160474262,44.577093262710285
SHW-TTD,0.0039609653372266,44.588268862504286
WTW-SYK,3.853107706500983e-06,44.62901365531065
TTD-TYL,0.0043416609837792,44.82270595716521
HWM-VST,0.013867279690209,44.848863754930754
PLD-IQV,0.0004013084970321,44.86313039866561
CARR-IRM,0.0182409075298017,44.87202733673249
BRK.B-HLT,7.618383952573987e-07,44.90965698405092
LLY-PANW,0.0007134586743715,44.93504425707405
TTD-UNP,0.0068848109187571,45.00138375181198
DELL-CBOE,0.0251510022486314,45.03604362602057
TEL-LH,4.883722071241408e-05,45.12362390708932
MSCI-EXPD,2.46288723008913e-05,45.21621760688529
CARR-PKG,0.0426327528439572,45.36469113912011
L-ANET,0.0100596152306065,45.3854676559094
ZTS-INVH,0.0359140028934356,45.387162694479706
TTD-ACN,0.0173919908050462,45.44038609562048
CSX-TTD,0.0031282013538696,45.57289774478074
OTIS-ACGL,0.0299930181308112,45.61418834614038
GOOG-LRCX,0.0028561502515178,45.63631697123095
META-LII,0.000215191573013,45.66072020227001
GOOG-AMAT,0.0038251504628575,45.71619465874358
MPWR-SNPS,2.4105618268670653e-07,45.72836182448323
TTD-TER,0.0105563396676642,45.87294301332194
MCO-CRWD,0.0407797154041457,45.98132882675675
CARR-NWS,0.0246074357358237,46.0003046521858
SQ-KMX,0.0059680342900779,46.00283125194488
CZR-CMCSA,0.0065597178515507,46.09157731933318
AZO-PANW,0.001359034413688,46.12482106376627
DELL-ROP,0.0281552610678673,46.32403841581398
DUK-HLT,0.0040465449511435,46.50369286145439
RMD-KEYS,0.0117876549769871,46.51056308888181
VICI-WAT,0.0056140376903456,46.53357599365461
ETN-PANW,0.0035602280178173,46.54591907992679
GWW-HUBB,1.228119518604214e-07,46.59108253798418
INVH-WST,0.0160180638425226,46.69655257147285
IR-PTC,0.039042406229714,46.748582712105524
URI-ANET,0.0237680801699888,46.76061438455851
VICI-TSCO,0.0104832482560743,46.84409431473984
SPGI-CRWD,0.0246318218780691,46.85393915105343
FISV-FICO,0.0396687921935405,46.86595307500473
WTW-UBER,0.0264420808402179,46.926728939660705
EXR-INVH,0.0357377864174613,46.99713690130926
GOOG-NXPI,0.015238969603433,47.023409395807896
CMG-IR,0.015261056699939,47.02826330563826
TTD-DVA,0.0218230006103654,47.03560798824809
GDDY-LII,0.0019505816655996,47.069948882883175
CARR-CINF,0.0378498415340684,47.09112486205293
VICI-DGX,0.0302175385520878,47.181436494667864
J-CRWD,0.0367695971434667,47.21037966860859
CHD-UNP,1.3895611609037095e-06,47.27891265721421
VST-NI,0.0421661174301686,47.40938926238973
CARR-KKR,0.0470105371855261,47.457187213196576
VICI-MTD,0.006483373429519,47.45953400941414
HLT-KLAC,0.0070627355040305,47.47032588030826
SO-HLT,0.0017779304837982,47.499464207770664
CARR-DVA,0.0476169282667529,47.630956127305396
HLT-ALL,0.008033797234003,47.703028148666924
WM-DELL,0.0263825605679132,47.721807712631644
PGR-PANW,0.004317170828301,47.72694987568891
DXCM-WST,1.0213527562823209e-05,47.771351810865816
NXPI-TTD,0.0114855149275039,47.782719932910325
EW-AWK,2.273853639259069e-05,47.790363919617526
TROW-CZR,0.0001735750998528,48.00387023581172
SYF-FOXA,0.0299896573465587,48.060611162915315
VICI-HON,0.0148501754541848,48.107025212699256
AFL-PANW,0.0002372650024177,48.14708998194453
GOOG-DOV,0.0035013007496716,48.16859797795691
WDAY-CHD,0.0014906859765415,48.20083620034514
PAYX-LYV,0.0024998667419693,48.20939068126693
MA-UBER,0.0414763080062186,48.25808975304258
VICI-ADI,0.0150566349115005,48.42313778782689
CHTR-KMX,4.051686776839179e-05,48.491292110567954
TJX-PANW,0.0021670946480647,48.52523212033978
GOOG-MPWR,0.0001589278810178,48.620776273808396
CBOE-ANET,0.0051678279786681,48.631715618076804
PEG-GDDY,0.0020854558433671,48.717727759525175
OTIS-BLDR,0.0446628340634658,48.72534983592053
WEC-KHC,0.0473670689083356,48.845188788011015
IR-ADI,0.0239386120262545,48.897251713484906
RMD-NEE,0.0047058929602028,48.959542644585994
DELL-TJX,0.0318843325738822,48.99139388505862
MSI-PANW,0.0363580365204132,49.02525940397802
TTD-EXPD,0.0082899103132543,49.06247173028536
TTD-ADI,0.0097224122104635,49.093995415927225
MCHP-CDW,0.0098614914770003,49.22998730330694
NXPI-VMC,0.0089288882343291,49.23552815531259
MPWR-BRO,9.325341690485708e-07,49.314139962844685
PANW-CB,0.0127276643341139,49.325220663160756
ODFL-MOH,9.958432600590568e-05,49.410156810507004
ADSK-ALLE,0.0049746858892504,49.50118906366631
TTD-HOLX,0.0114157725468043,49.54298990512921
GOOG-J,0.0011874751760296,49.55562139312557
WTW-ADI,4.564976153992944e-07,49.607831553327436
MA-WTW,0.0001016980350454,49.6088772698878
XYL-TXN,0.000782940364047,49.61437597757678
V-ROL,0.0002567970702319,49.65812701985213
AFL-ANET,0.0028349049993064,49.67632008003566
TTD-NDSN,0.0154024046878989,49.7657481118974
MPWR-NVR,0.0003360845643162,49.77714082100773
BRK.B-PANW,0.0016338120678228,49.78251266198765
SRE-KEYS,0.0095875742666477,49.83603074607693
ZTS-STE,0.0047044125812113,49.87415816454199
TDG-PANW,0.0062668378760878,50.039772838179495
GOOG-MCO,0.0026262038879075,50.090294773545324
HPE-L,0.0041490493136121,50.21936233292221
ICE-WTW,3.611489889229915e-06,50.27849059395787
INVH-TER,0.0157469948793638,50.35163938987438
LLY-IR,0.0064040915361766,50.423863411725506
CEG-TRGP,0.0328563964685114,50.425387380339785
TTD-SPGI,0.0108522135620353,50.450475122599435
V-BR,0.0002053906258571,50.489909832063354
GOOG-BX,0.0275616616836826,50.593981032730106
PYPL-MDT,0.0095092080123815,50.60186108626782
FOXA-COF,0.0304334887073295,50.60859954839231
AAPL-MPWR,5.940427711815489e-07,50.658672513687435
IQV-EXPD,0.0009206068843956,50.67744338496587
V-SYK,0.0109387102506801,50.68087848297257
CTVA-KR,0.0438658324239435,50.720183915083275
WDAY-NSC,0.000617825272948,50.72036858919187
AVGO-ORCL,0.0009298067649028,50.726782745885586
PHM-PANW,0.0159380902336245,50.8442428766768
GOOG-SHW,0.0001604150172072,50.89010520179505
SO-PANW,0.0020844695486768,50.92542211434294
IQV-AVY,0.0016181516703254,50.94045327016198
MA-ADI,0.0015250625643117,50.9433883278303
MDLZ-VICI,0.0203456190808836,50.949152069876945
PAYX-ADI,3.849189260524206e-05,51.0466594235594
LH-BLK,0.0041070985656193,51.13350902126475
DPZ-TXN,2.765799216748052e-05,51.167877045126595
TT-HLT,0.0066951183561176,51.18923509974052
MMC-ADI,8.497088668171296e-05,51.205965713424504
JNJ-KEYS,0.005255281477085,51.34793609022716
GOOG-FAST,0.0004504042546634,51.38743334515034
KMX-CZR,0.0004523304293825,51.50321725885218
TGT-CRL,7.718708778188465e-06,51.51522091869206
LNT-ALLE,0.0036788571860559,51.562692171149294
GOOGL-ADI,0.0019253820226172,51.5689252110371
INVH-TMO,0.0218372108884946,51.5743316802764
RSG-PANW,0.0055599106824961,51.5818508432594
TRV-CBOE,0.0022300884657503,51.583071786750196
KEYS-NEE,0.0057109984555648,51.58768449576914
PPG-CZR,0.0026842489974355,51.599909493404525
TTD-HON,0.010090668303474,51.63073198115599
DXCM-LULU,0.0030996605333955,51.65494125214368
MCHP-IQV,0.0025583680321215,51.73487148535518
ALLE-HON,0.019666624054489,51.735325537204034
LDOS-UBER,0.0467762668280428,51.73830811338253
VICI-LH,0.0409743351028376,51.78193888565005
TRV-PANW,0.014032598393987,51.81035752611065
YUM-VICI,0.0430391530115337,51.8355034287485
TTD-STE,0.0175003792950927,51.8525111411838
KDP-VICI,0.0106721287176507,51.894358472304795
PCAR-PANW,0.0060081587493447,51.94975771615748
ZTS-UNP,0.0010398590751417,52.11566954412675
TGT-TECH,2.556145485155869e-06,52.127749536409794
ZTS-TER,0.0007731521033914,52.13244966533509
VICI-LOW,0.0112743083716961,52.13443756770712
TGT-EPAM,0.0009768095414938,52.14191238277129
BR-SYK,1.2562198231964356e-05,52.14522239092543
WDAY-FTV,0.0098029382840368,52.22937382206386
DPZ-ALLE,0.0008274630742667,52.27899257968056
UHS-ANET,0.0043624879693804,52.29010382923281
VICI-J,0.0216633106979537,52.35089329284245
ALL-GDDY,0.0223971073270542,52.45113812296118
MA-ROL,6.303062561548322e-05,52.45124220409463
URI-KLAC,3.603050449601538e-08,52.48314392902672
ELV-MCHP,0.000135556039933,52.51839144097337
PEG-LYV,3.3095312637499033e-05,52.53698176963677
ICE-SYK,0.0003367145879959,52.59314847361986
INVH-ACN,0.0243244976410472,52.611364320565826
CBRE-LYV,0.0115018659180506,52.625567745236836
EQIX-ITW,8.125163551813991e-10,52.67531361911879
MSCI-KEYS,0.0032060467706549,52.686115694269596
DUK-ALLE,0.0017651656411453,52.68725100638952
TDY-STE,4.629236700131625e-05,52.720632070316384
RMD-TDY,1.7856533786124558e-06,52.74840681681285
EQIX-ROP,1.189679490016487e-09,52.765460017444056
AJG-MPWR,4.43228240941633e-06,52.80388612264044
VICI-GPC,0.039264438462718,52.836425333506064
GOOG-AIZ,0.0129758294240296,52.88139912046949
INVH-UNP,0.0121955001821008,52.97572212096812
HPE-NTAP,0.0075241998957514,53.01492836896089
HLT-PGR,0.002518433607388,53.08396337849085
FFIV-FOX,0.0425266058154551,53.20126766499255
WDAY-COO,0.010807623363161,53.20896955575028
VST-NRG,0.0115873019897713,53.242403800516186
APO-WSM,0.0063941565892955,53.33351762101744
V-ICE,7.95117397064896e-05,53.41378630940429
GOOG-DUK,0.0110565926337464,53.433047379594285
ABBV-MPWR,0.0025672005674785,53.687373064800795
APD-TTD,0.010684445627888,53.746224826190875
TT-KKR,0.0010602114688057,53.75135618393858
MPWR-AMAT,5.886270289510909e-07,53.754263162257764
AAPL-TTD,0.0157335835876957,53.81069821102196
FICO-ANET,0.0008718113356109,53.85993009104794
V-VRSK,6.372271948808974e-05,53.86054183130379
NXPI-MAS,0.0080978869412143,53.8981589806934
TTD-TSCO,0.0151411469286808,53.95200691103441
MCO-WTW,3.630068503567592e-07,53.96782258644881
POOL-DHR,0.0004840582896985,53.98132620660381
VICI-HOLX,0.0399259956799421,53.998172687374655
HCA-AMAT,0.0011201919413727,54.00617869797856
EPAM-NKE,0.0006026693777734,54.13099151592408
KHC-VRSN,0.0215104035842261,54.33040271422362
ECL-CPAY,0.0014308922235277,54.39314558980575
APO-ETN,0.0090504074257497,54.460784613220426
EPAM-TECH,1.6084541909658474e-05,54.55431560193537
ZTS-EXPD,0.014677331674971,54.626238682304006
SRE-CDW,0.0050777023301084,54.68175840964877
VICI-ULTA,0.0420512061108078,54.70239962888247
APO-HLT,0.0034788852453654,54.70822891866269
KDP-NEE,0.0001560012989761,54.76947688248301
GOOGL-BX,0.0015602999366517,54.83632729895804
WSM-NWS,0.0054853114638808,54.90409040999255
IRM-ANET,0.0302788726414409,54.950945095053726
CTAS-MPWR,0.0010931748777219,54.95762651419971
ALL-CBOE,0.0299138156317675,54.97610822184391
TMO-DHR,1.1562096629160093e-07,55.04207297493028
HPE-TXT,0.010938165703024,55.04790357655641
TTD-EFX,0.0138874814965441,55.108247304461
WDAY-ROP,0.0067433587023378,55.12573891513335
LLY-ANET,0.0380772993088629,55.26110457538123
ABBV-ADI,0.0064178926338999,55.32345807464788
EMR-HLT,0.0033763137348221,55.35276636075086
MPWR-PANW,0.022049763204227,55.36293053024274
CL-PANW,0.0077556712463241,55.40817910713127
JNJ-IQV,0.0130650522821314,55.41695712446516
IQV-IEX,0.0132208839652741,55.42907597326546
DUK-KEYS,0.0276732781901262,55.438476632409404
DTE-GL,4.028497777990093e-06,55.44474954251822
HCA-TSCO,0.0015629371840401,55.44808981278663
PH-APO,0.00051106278558,55.490570800932
NXPI-LH,0.0289092671320292,55.52772474035034
ABBV-RJF,1.974885913514353e-05,55.55383565375659
ROST-ALLE,0.0074625155355015,55.571623402164604
CDW-NDSN,0.0019043142907415,55.57563802745294
STE-ACN,2.234116583147138e-05,55.657720657529694
NXPI-LOW,0.0162084114987844,55.65933177583887
BLK-CRWD,0.0366270810940651,55.748585835182844
TTD-ODFL,0.0203147340549549,55.7720333368794
ABBV-STLD,0.0007539647027567,55.7790540081524
PYPL-KMX,0.007606368241594,55.85067602538448
EQIX-DPZ,5.564032736061375e-05,55.88502044552963
HD-ACN,0.0411847306171639,55.89671730952575
EQIX-ALLE,0.0070917948651976,55.90137163823045
CDW-AVY,0.0346741980615656,55.907984372735534
CCI-ES,1.9549936124629683e-05,55.973883698350456
APTV-CZR,0.0050308598926389,56.15052371823247
ZTS-IQV,0.0008254373963867,56.21857247098872
GOOGL-HCA,0.0001803835084931,56.21925166341703
MTD-INVH,0.024400319623874,56.24057647494279
ANET-PGR,0.0012326946577573,56.29401648204833
ROP-TTD,0.0231717059417681,56.30615883938611
TTD-ROK,0.0371057323956436,56.31468025578145
HLT-CB,0.0213120259740062,56.328461917956716
A-KEYS,0.0345332018883921,56.33285224117174
CBOE-BKNG,0.0011906858426175,56.35405667132789
BRO-PANW,0.0255805770361454,56.54463670464659
MMC-HCA,0.0039521670079852,56.56156991770352
TDG-ANET,0.0070304715877021,56.58663424914877
GOOG-EMR,0.0056565735229481,56.721763435851386
NSC-KEYS,0.0063012245243897,56.83370730345069
SBAC-PAYC,0.0036668657713505,56.92582872490103
BR-ADI,0.0047177395547778,56.940901059330706
HCA-MLM,0.0005593329677661,56.98200800362643
IQV-NDSN,0.0042955305025503,57.03027790535322
MLM-MPWR,4.37439189923576e-06,57.046658687046666
CMG-MPWR,4.366063843502673e-05,57.072618438431554
WMT-APO,0.0189104707343697,57.101366788144446
